movie_id,title,imdbId,tmdbId
193,Showgirls (1995),0114436,10802
194,Smoke (1995),0114478,10149
195,Something to Talk About (1995),0114496,18402
196,Species (1995),0114508,9348
197,"Stars Fell on Henrietta, The (1995)",0114534,139408
198,Strange Days (1995),0114558,281
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",0058450,5967
200,"Tie That Binds, The (1995)",0114666,79593
201,Three Wishes (1995),0114663,47939
202,Total Eclipse (1995),0114702,36834
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",0114682,9090
204,Under Siege 2: Dark Territory (1995),0114781,3512
205,Unstrung Heroes (1995),0114798,52856
206,Unzipped (1995),0114805,77350
207,"Walk in the Clouds, A (1995)",0114887,9560
208,Waterworld (1995),0114898,9804
209,White Man's Burden (1995),0114928,31611
210,Wild Bill (1995),0114938,65796
211,"Browning Version, The (1994)",0109340,49805
212,Bushwhacked (1995),0112602,26258
213,Burnt By the Sun (Utomlyonnye solntsem) (1994),0111579,50797
214,Before the Rain (Pred dozhdot) (1994),0110882,19155
215,Before Sunrise (1995),0112471,76
216,Billy Madison (1995),0112508,11017
217,"Babysitter, The (1995)",0112438,37141
218,Boys on the Side (1995),0112571,9382
219,"Cure, The (1995)",0112757,6715
220,Castle Freak (1995),0112643,18256
222,Circle of Friends (1995),0112679,22625
223,Clerks (1994),0109445,2292
224,Don Juan DeMarco (1995),0112883,1909
225,Disclosure (1994),0109635,8984
226,Dream Man (1995),0112899,61813
227,Drop Zone (1994),0109676,4954
228,Destiny Turns on the Radio (1995),0112854,62488
229,Death and the Maiden (1994),0109579,10531
230,Dolores Claiborne (1994),0109642,11929
231,Dumb & Dumber (1994),0109686,8467
232,Eat Drink Man Woman (1994),0111797,10451
233,Exotica (1994),0109759,20156
234,Exit to Eden (1994),0109758,18395
235,Ed Wood (1994),0109707,522
236,French Kiss (1995),0113117,397
237,Forget Paris (1995),0113097,10525
238,Far From Home: The Adventures of Yellow Dog (1995),0113028,27985
239,"Goofy Movie, A (1995)",0113198,15789
240,Hideaway (1995),0113303,27303
241,Fluke (1995),0113089,21183
242,Farinelli: il castrato (1994),0109771,10954
243,Gordy (1995),0113199,47867
244,Gumby: The Movie (1995),0113234,43475
245,"Glass Shield, The (1994)",0109906,72031
246,Hoop Dreams (1994),0110057,14275
247,Heavenly Creatures (1994),0110005,1024
248,Houseguest (1994),0110066,17207
249,Immortal Beloved (1994),0110116,13701
250,Heavyweights (1994),0110006,14819
251,"Hunted, The (1995)",0113360,32631
252,I.Q. (1994),0110099,11777
253,Interview with the Vampire (1994),0110148,628
254,Jefferson in Paris (1995),0113463,87729
255,"Jerky Boys, The (1994)",0110189,18713
256,Junior (1994),0110216,6280
257,Just Cause (1995),0113501,9061
258,"Kid in King Arthur's Court, A (1995)",0113538,37108
259,Kiss of Death (1995),0113552,6071
260,Star Wars: Episode IV - A New Hope (1977),0076759,11
261,Little Women (1994),0110367,9587
262,"Little Princess, A (1995)",0113670,19101
263,Ladybird Ladybird (1994),0110296,49980
264,"Enfer, L' (1994)",0109731,17961
265,Like Water for Chocolate (Como agua para chocolate) (1992),0103994,18183
266,Legends of the Fall (1994),0110322,4476
267,Major Payne (1994),0110443,11008
268,Little Odessa (1994),0110365,47504
269,My Crazy Life (Mi vida loca) (1993),0107566,32325
270,Love Affair (1994),0110391,43742
271,Losing Isaiah (1995),0113691,28313
272,"Madness of King George, The (1994)",0110428,11318
273,Mary Shelley's Frankenstein (1994),0109836,3036
274,Man of the House (1995),0113755,40490
275,Mixed Nuts (1994),0110538,24070
276,Milk Money (1994),0110516,8986
277,Miracle on 34th Street (1994),0110527,10510
278,Miami Rhapsody (1995),0113808,17402
279,My Family (1995),0113896,38722
280,Murder in the First (1995),0113870,8438
281,Nobody's Fool (1994),0110684,11593
282,Nell (1994),0110638,1945
283,New Jersey Drive (1995),0113967,39310
284,New York Cop (1996),0117169,109560
285,Beyond Bedlam (1993),0106402,56428
286,Nemesis 2: Nebula (1995),0113948,63105
287,Nina Takes a Lover (1994),0110671,131957
288,Natural Born Killers (1994),0110632,241
289,Only You (1994),0110737,9058
290,Once Were Warriors (1994),0110729,527
291,Poison Ivy II (1995),0114151,
292,Outbreak (1995),0114069,6950
293,"Professional, The (a.k.a. Leon: The Professional) (1994)",0110413,101
294,"Perez Family, The (1995)",0114113,63020
295,"Pyromaniac's Love Story, A (1995)",0114210,2307
296,Pulp Fiction (1994),0110912,680
297,Panther (1995),0114084,41478
298,Pushing Hands (1992),0105652,25296
299,Priest (1994),0110889,40156
300,Quiz Show (1994),0110932,11450
301,Picture Bride (1995),0114129,30304
302,Queen Margot (La Reine Margot) (1994),0110963,10452
303,"Quick and the Dead, The (1995)",0114214,12106
304,Roommates (1995),0114296,161495
305,Ready to Wear (Pret-A-Porter) (1994),0110907,3586
306,Three Colors: Red (1994),0111495,110
307,Three Colors: Blue (1993),0108394,108
308,Three Colors: White (1994),0111507,109
309,"Red Firecracker, Green Firecracker (1994)",0110769,159185
310,Rent-a-Kid (1995),0114268,36357
311,Relative Fear (1994),0110965,92769
312,Stuart Saves His Family (1995),0114571,28033
313,"Swan Princess, The (1994)",0111333,22586
314,"Secret of Roan Inish, The (1994)",0111112,14334
315,"Specialist, The (1994)",0111255,2636
316,Stargate (1994),0111282,2164
317,"Santa Clause, The (1994)",0111070,11395
318,"Shawshank Redemption, The (1994)",0111161,278
319,Shallow Grave (1994),0111149,9905
320,Suture (1993),0108260,87078
321,Strawberry and Chocolate (Fresa y chocolate) (1993),0106966,12527
322,Swimming with Sharks (1995),0114594,20306
324,"Sum of Us, The (1994)",0111309,36614
325,National Lampoon's Senior Trip (1995),0113936,27993
326,To Live (Huozhe) (1994),0110081,31439
327,Tank Girl (1995),0114614,9067
328,Tales From the Crypt Presents: Demon Knight (1995),0114608,9059
329,Star Trek: Generations (1994),0111280,193
330,Tales from the Hood (1995),0114609,25066
331,Tom & Viv (1994),0111454,46797
332,Village of the Damned (1995),0114852,12122
333,Tommy Boy (1995),0114694,11381
334,Vanya on 42nd Street (1994),0111590,32636
335,"Underneath, The (1995)",0114788,36141
336,"Walking Dead, The (1995)",0114888,95963
337,What's Eating Gilbert Grape (1993),0108550,1587
338,Virtuosity (1995),0114857,9271
339,While You Were Sleeping (1995),0114924,2064
340,"War, The (1994)",0111667,19855
341,Double Happiness (1994),0109655,60855
342,Muriel's Wedding (1994),0110598,236
343,"Baby-Sitters Club, The (1995)",0112435,48287
344,Ace Ventura: Pet Detective (1994),0109040,3049
345,"Adventures of Priscilla, Queen of the Desert, The (1994)",0109045,2759
346,Backbeat (1993),0106339,12635
347,Bitter Moon (1992),0104779,10497
348,Bullets Over Broadway (1994),0109348,11382
349,Clear and Present Danger (1994),0109444,9331
350,"Client, The (1994)",0109446,10731
351,"Corrina, Corrina (1994)",0109484,10464
352,Crooklyn (1994),0109504,34152
353,"Crow, The (1994)",0109506,9495
354,Cobb (1994),0109450,29973
355,"Flintstones, The (1994)",0109813,888
356,Forrest Gump (1994),0109830,13
357,Four Weddings and a Funeral (1994),0109831,712
358,Higher Learning (1995),0113305,16295
359,I Like It Like That (1994),0110091,48992
360,I Love Trouble (1994),0110093,10879
361,It Could Happen to You (1994),0110167,10660
362,"Jungle Book, The (1994)",0110213,10714
363,"Wonderful, Horrible Life of Leni Riefenstahl, The (Die Macht der Bilder) (1993)",0107472,41647
364,"Lion King, The (1994)",0110357,8587
365,Little Buddha (1993),0107426,1689
366,Wes Craven's New Nightmare (1994),0111686,11596
367,"Mask, The (1994)",0110475,854
368,Maverick (1994),0110478,9359
369,Mrs. Parker and the Vicious Circle (1994),0110588,23333
370,Naked Gun 33 1/3: The Final Insult (1994),0110622,36593
371,"Paper, The (1994)",0110771,12280
372,Reality Bites (1994),0110950,2788
373,Red Rock West (1992),0105226,10427
374,Richie Rich (1994),0110989,11011
375,Safe Passage (1994),0111054,49803
376,"River Wild, The (1994)",0110997,8987
377,Speed (1994),0111257,1637
378,Speechless (1994),0111256,15128
379,Timecop (1994),0111438,8831
380,True Lies (1994),0111503,36955
381,When a Man Loves a Woman (1994),0111693,10449
382,Wolf (1994),0111742,10395
383,Wyatt Earp (1994),0111756,12160
384,Bad Company (1995),0112443,40480
385,"Man of No Importance, A (1994)",0110455,52038
386,S.F.W. (1994),0111048,29444
387,"Low Down Dirty Shame, A (1994)",0110399,26352
388,Boys Life (1995),0112570,39953
389,"Colonel Chabert, Le (1994)",0109454,41580
390,Faster Pussycat! Kill! Kill! (1965),0059170,315
391,Jason's Lyric (1994),0110186,22067
392,"Secret Adventures of Tom Thumb, The (1993)",0108069,18242
393,Street Fighter (1994),0111301,11667
394,Coldblooded (1995),0112702,32502
395,Desert Winds (1995),0112849,267188
396,Fall Time (1995),0113014,28732
397,"Fear, The (1995)",0113043,75555
398,Frank and Ollie (1995),0113104,42981
399,Girl in the Cadillac (1995),0113173,278939
400,Homage (1995),0113319,291731
401,Mirage (1995),0113827,226229
402,Open Season (1996),0114047,203119
403,Two Crimes (1995),0114736,37144
404,Brother Minister: The Assassination of Malcolm X (1994),0109339,316098
405,Highlander III: The Sorcerer (1994),0110027,8011
406,Federal Hill (1994),0109785,171857
407,In the Mouth of Madness (1995),0113409,2654
408,8 Seconds (1994),0109021,18069
409,Above the Rim (1994),0109035,19092
410,Addams Family Values (1993),0106220,2758
411,You So Crazy (1994),0111804,38129
412,"Age of Innocence, The (1993)",0106226,10436
413,Airheads (1994),0109068,13595
414,"Air Up There, The (1994)",0109067,46094
415,Another Stakeout (1993),0106292,9409
416,Bad Girls (1994),0109198,11853
417,Barcelona (1994),0109219,16771
418,Being Human (1993),0106379,46924
419,"Beverly Hillbillies, The (1993)",0106400,11041
420,Beverly Hills Cop III (1994),0109254,306
421,Black Beauty (1994),0109279,14522
422,Blink (1994),0109297,26203
423,Blown Away (1994),0109303,178
424,Blue Chips (1994),0109305,19819
425,Blue Sky (1994),0109306,57834
426,Body Snatchers (1993),0106452,4722
427,Boxing Helena (1993),0106471,18215
428,"Bronx Tale, A (1993)",0106489,1607
429,Cabin Boy (1994),0109361,26391
430,Calendar Girl (1993),0106505,117553
431,Carlito's Way (1993),0106519,6075
432,City Slickers II: The Legend of Curly's Gold (1994),0109439,11310
433,Clean Slate (1994),0109443,18658
434,Cliffhanger (1993),0106582,9350
435,Coneheads (1993),0106598,9612
436,Color of Night (1994),0109456,2124
437,Cops and Robbersons (1994),0109480,26261
438,"Cowboy Way, The (1994)",0109493,19176
439,Dangerous Game (1993),0106660,49299
440,Dave (1993),0106673,11566
441,Dazed and Confused (1993),0106677,9571
442,Demolition Man (1993),0106697,9739
443,"Endless Summer 2, The (1994)",0109729,24257
444,Even Cowgirls Get the Blues (1993),0106834,34444
445,Fatal Instinct (1993),0106873,26141
446,Farewell My Concubine (1993),0106332,10997
447,"Favor, The (1994)",0109783,50463
448,Fearless (1993),0106881,10443
449,Fear of a Black Hat (1993),0106880,20239
450,With Honors (1994),0111732,16297
451,Flesh and Bone (1993),0106926,18551
452,Widows' Peak (1994),0111712,25440
453,For Love or Money (1993),0106941,9024
454,"Firm, The (1993)",0106918,37233
455,Free Willy (1993),0106965,1634
456,Fresh (1994),0109842,13815
457,"Fugitive, The (1993)",0106977,5503
458,Geronimo: An American Legend (1993),0107004,35588
459,"Getaway, The (1994)",0109890,2087
460,Getting Even with Dad (1994),0109891,41579
461,Go Fish (1994),0109913,18620
462,"Good Man in Africa, A (1994)",0109920,41006
463,Guilty as Sin (1993),0107057,4916
464,Hard Target (1993),0107076,2019
465,Heaven & Earth (1993),0107096,31642
466,Hot Shots! Part Deux (1993),0107144,9255
467,Live Nude Girls (1995),0113674,26271
468,"Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)",0112966,10612
469,"House of the Spirits, The (1993)",0107151,2259
470,House Party 3 (1994),0110064,16097
471,"Hudsucker Proxy, The (1994)",0110074,11934
472,I'll Do Anything (1994),0110097,106143
473,In the Army Now (1994),0110123,12475
474,In the Line of Fire (1993),0107206,9386
475,In the Name of the Father (1993),0107207,7984
476,"Inkwell, The (1994)",0110137,59930
477,What's Love Got to Do with It? (1993),0108551,15765
478,Jimmy Hollywood (1994),0110197,31643
479,Judgment Night (1993),0107286,6
480,Jurassic Park (1993),0107290,329
481,Kalifornia (1993),0107302,10909
482,Killing Zoe (1994),0110265,507
483,King of the Hill (1993),0107322,34024
484,Lassie (1994),0110305,29918
485,Last Action Hero (1993),0107362,9593
486,Life with Mikey (1993),0107413,42580
487,Lightning Jack (1994),0110353,22317
488,M. Butterfly (1993),0107468,1413
489,Made in America (1993),0107478,12121
490,Malice (1993),0107497,2246
491,"Man Without a Face, The (1993)",0107501,10502
492,Manhattan Murder Mystery (1993),0107507,10440
493,Menace II Society (1993),0107554,9516
494,Executive Decision (1996),0116253,2320
495,In the Realm of the Senses (Ai no corrida) (1976),0074102,5879
496,What Happened Was... (1994),0111689,83718
497,Much Ado About Nothing (1993),0107616,11971
498,Mr. Jones (1993),0107611,2625
499,Mr. Wonderful (1993),0107613,31911
500,Mrs. Doubtfire (1993),0107614,788
501,Naked (1993),0107653,21450
502,"Next Karate Kid, The (1994)",0110657,11231
503,"New Age, The (1994)",0110649,41588
504,No Escape (1994),0110678,10447
505,North (1994),0110687,31586
506,Orlando (1993),0107756,9300
507,"Perfect World, A (1993)",0107808,9559
508,Philadelphia (1993),0107818,9800
509,"Piano, The (1993)",0107822,713
510,Poetic Justice (1993),0107840,8291
511,"Program, The (1993)",0107889,18133
512,Robert A. Heinlein's The Puppet Masters (1994),0111003,25557
513,Radioland Murders (1994),0110939,22588
514,"Ref, The (1994)",0110955,10872
515,"Remains of the Day, The (1993)",0107943,1245
516,Renaissance Man (1994),0110971,11858
517,Rising Sun (1993),0107969,7007
518,"Road to Wellville, The (1994)",0111001,10467
519,Robocop 3 (1993),0107978,5550
520,Robin Hood: Men in Tights (1993),0107977,8005
521,Romeo Is Bleeding (1993),0107983,2088
522,Romper Stomper (1992),0105275,10412
523,Ruby in Paradise (1993),0108000,47889
524,Rudy (1993),0108002,14534
525,"Saint of Fort Washington, The (1993)",0108026,56583
526,"Savage Nights (Nuits fauves, Les) (1992)",0105032,41878
527,Schindler's List (1993),0108052,424
528,"Scout, The (1994)",0111094,35233
529,Searching for Bobby Fischer (1993),0108065,14291
530,Second Best (1994),0111102,103413
531,"Secret Garden, The (1993)",0108071,11236
532,Serial Mom (1994),0111127,11592
533,"Shadow, The (1994)",0111143,8850
534,Shadowlands (1993),0108101,10445
535,Short Cuts (1993),0108122,695
536,"Simple Twist of Fate, A (1994)",0111194,43535
537,Sirens (1994),0111201,12519
538,Six Degrees of Separation (1993),0108149,23210
539,Sleepless in Seattle (1993),0108160,858
540,Sliver (1993),0108162,867
541,Blade Runner (1982),0083658,78
542,Son in Law (1993),0108186,13203
543,So I Married an Axe Murderer (1993),0108174,10442
544,Striking Distance (1993),0108238,11074
545,Harlem (1993),0139340,
546,Super Mario Bros. (1993),0108255,9607
547,Surviving the Game (1994),0111323,17585
548,Terminal Velocity (1994),0111400,9057
549,Thirty-Two Short Films About Glenn Gould (1993),0108328,20967
550,Threesome (1994),0111418,10635
551,"Nightmare Before Christmas, The (1993)",0107688,9479
552,"Three Musketeers, The (1993)",0108333,10057
553,Tombstone (1993),0108358,11969
554,Trial by Jury (1994),0111488,41590
555,True Romance (1993),0108399,319
556,"War Room, The (1993)",0108515,26408
557,Mamma Roma (1962),0056215,47796
558,"Pagemaster, The (1994)",0110763,15139
559,"Paris, France (1993)",0107779,161158
560,"Beans of Egypt, Maine, The (1994)",0109226,218473
561,Killer (Bulletproof Heart) (1994),0110259,85247
562,Welcome to the Dollhouse (1995),0114906,11446
563,Germinal (1993),0107002,51980
564,Chasers (1994),0109403,24405
565,Cronos (1992),0104029,11655
566,Naked in New York (1994),0110623,11800
567,Kika (1993),0107315,8223
568,Bhaji on the Beach (1993),0106408,14587
569,Little Big League (1994),0110363,31504
570,"Slingshot, The (Kådisbellan ) (1993)",0107349,41653
571,"Wedding Gift, The (1994)",0111709,53185
572,Foreign Student (1994),0109828,95743
573,"Ciao, Professore! (Io speriamo che me la cavo ) (1993)",0107225,23637
574,Spanking the Monkey (1994),0111252,17600
575,"Little Rascals, The (1994)",0110366,10897
576,Fausto (1993),0106878,349394
577,Andre (1994),0109120,21352
578,"Hour of the Pig, The (1993)",0107146,70912
579,"Scorta, La (1993)",0108059,68806
580,Princess Caraboo (1994),0110892,37345
581,"Celluloid Closet, The (1995)",0112651,32562
582,Metisse (Café au Lait) (1993),0107642,47507
583,Dear Diary (Caro Diario) (1994),0109382,25403
584,I Don't Want to Talk About It (De eso no se habla) (1993),0106678,124304
585,"Brady Bunch Movie, The (1995)",0112572,9066
586,Home Alone (1990),0099785,771
587,Ghost (1990),0099653,251
588,Aladdin (1992),0103639,812
589,Terminator 2: Judgment Day (1991),0103064,280
590,Dances with Wolves (1990),0099348,581
591,Tough and Deadly (1995),0114706,80350
592,Batman (1989),0096895,268
593,"Silence of the Lambs, The (1991)",0102926,274
594,Snow White and the Seven Dwarfs (1937),0029583,408
595,Beauty and the Beast (1991),0101414,10020
596,Pinocchio (1940),0032910,10895
597,Pretty Woman (1990),0100405,114
598,Window to Paris (1994),0110719,41043
599,"Wild Bunch, The (1969)",0065214,576
600,Love and a .45 (1994),0110395,15477
601,"Wooden Man's Bride, The (Wu Kui) (1994)",0111752,59146
602,"Great Day in Harlem, A (1994)",0109934,124472
603,"Bye Bye, Love (1995)",0112606,30528
604,Criminals (1996),0115978,538286
605,One Fine Day (1996),0117247,7300
606,Candyman: Farewell to the Flesh (1995),0112625,10824
607,Century (1993),0106537,261246
608,Fargo (1996),0116282,275
609,Homeward Bound II: Lost in San Francisco (1996),0116552,25059
610,Heavy Metal (1981),0082509,11827
611,Hellraiser: Bloodline (1996),0116514,8766
612,"Pallbearer, The (1996)",0117283,23570
613,Jane Eyre (1996),0116684,47333
614,Loaded (1994),0110374,54850
615,Bread and Chocolate (Pane e cioccolata) (1973),0070506,51242
616,"Aristocats, The (1970)",0065421,10112
617,"Flower of My Secret, The (La Flor de Mi Secreto) (1995)",0113083,4307
618,Two Much (1996),0118001,46029
619,Ed (1996),0116165,32308
620,Scream of Stone (Schrei aus Stein) (1991),0102855,88893
621,My Favorite Season (1993),0107471,52873
623,"Modern Affair, A (1995)",0113839,123505
624,Condition Red (1995),0112712,
625,Asfour Stah (1990),0090665,44281
626,"Thin Line Between Love and Hate, A (1996)",0117891,28121
627,"Last Supper, The (1995)",0113613,12520
628,Primal Fear (1996),0117381,1592
629,Rude (1995),0114305,166901
630,Carried Away (1996),0115837,36447
631,All Dogs Go to Heaven 2 (1996),0115509,19042
632,Land and Freedom (Tierra y libertad) (1995),0114671,38884
633,Denise Calls Up (1995),0112844,47449
634,Theodore Rex (1995),0114658,36259
635,"Family Thing, A (1996)",0116275,41852
636,Frisk (1995),0113122,40926
637,Sgt. Bilko (1996),0117608,9099
638,Jack and Sarah (1995),0113448,2021
639,Girl 6 (1996),0116414,61752
640,Diabolique (1996),0116095,10988
641,"Little Indian, Big City (Un indien dans la ville) (1994)",0111543,11479
642,Roula (1995),0117517,398959
643,Peanuts - Die Bank zahlt alles (1996),0117312,287305
644,Happy Weekend (1996),0116485,339428
645,Nelly & Monsieur Arnaud (1995),0113947,12652
647,Courage Under Fire (1996),0115956,10684
648,Mission: Impossible (1996),0117060,954
649,Cold Fever (Á köldum klaka) (1994),0109028,68445
650,Moll Flanders (1996),0117071,18989
651,"Superweib, Das (1996)",0117788,10801
652,"301, 302 (1995)",0112257,54285
653,Dragonheart (1996),0116136,8840
